idx,year,race,location,type_simple,DemPredFinal,RepPredFinal,DemShareAct,RepShareAct
253,2006,2006_Sen-G_WV,WV,Sen-G,0.67,0.33,0.656476103128503,0.34352389687149704
254,2007,2007_Gov-G_KY,KY,Gov-G,0.6030806403489632,0.3969193596510367,0.5870000000000001,0.413
255,2008,2008_Gov-G_DE,DE,Gov-G,0.6966292134831461,0.30337078651685395,0.678391959798995,0.32160804020100503
256,2008,2008_Gov-G_IN,IN,Gov-G,0.3890074323668933,0.6109925676331066,0.40960163432073543,0.5903983656792645
257,2008,2008_Gov-G_MO,MO,Gov-G,0.5938244712512462,0.4061755287487539,0.5965270684371807,0.40347293156281916
258,2008,2008_Gov-G_MT,MT,Gov-G,0.6295565181440409,0.37044348185595916,0.6683673469387755,0.33163265306122447
259,2008,2008_Gov-G_NC,NC,Gov-G,0.5075761219942563,0.4924238780057438,0.5174897119341564,0.4825102880658437
260,2008,2008_Gov-G_ND,ND,Gov-G,0.25,0.75,0.2400408580183861,0.7599591419816139
261,2008,2008_Gov-G_NH,NH,Gov-G,0.7488050711783614,0.2511949288216386,0.7177914110429447,0.2822085889570552
262,2008,2008_Gov-G_UT,UT,Gov-G,0.1753190247323808,0.8246809752676192,0.20225872689938396,0.797741273100616
263,2008,2008_Gov-G_WA,WA,Gov-G,0.5184476953849135,0.48155230461508647,0.5329999999999999,0.467
264,2008,2008_Gov-G_WV,WV,Gov-G,0.7225987166207716,0.2774012833792285,0.7308900523560209,0.26910994764397905
265,2008,2008_Sen-G_AK,AK,Sen-G,0.5559560563687928,0.44404394363120725,0.5066284865839431,0.49337151341605684
266,2008,2008_Sen-G_AL,AL,Sen-G,0.3282936565508295,0.6717063434491705,0.36563876651982385,0.6343612334801763
267,2008,2008_Sen-G_CO,CO,Sen-G,0.5656901476259915,0.43430985237400854,0.5540980165809634,0.4459019834190367
268,2008,2008_Sen-G_DE,DE,Sen-G,0.6676018572089558,0.33239814279104424,0.6469,0.3531
269,2008,2008_Sen-G_GA,GA,Sen-G,0.47980137151961605,0.5201986284803839,0.484472049689441,0.515527950310559
270,2008,2008_Sen-G_IA,IA,Sen-G,0.6252992567048846,0.3747007432951154,0.6271016813450762,0.37289831865492395
271,2008,2008_Sen-G_ID,ID,Sen-G,0.38911907218284414,0.6108809278171559,0.37173060156931126,0.6282693984306889
272,2008,2008_Sen-G_IL,IL,Sen-G,0.6349044304270703,0.3650955695729296,0.7039535125038913,0.29604648749610873
273,2008,2008_Sen-G_KS,KS,Sen-G,0.3636650442940215,0.6363349557059785,0.3777455449647741,0.6222544550352258
274,2008,2008_Sen-G_KY,KY,Sen-G,0.47174324490218245,0.5282567550978176,0.4703,0.5297
275,2008,2008_Sen-G_LA,LA,Sen-G,0.5818902665719999,0.418109733428,0.5326586936522539,0.46734130634774607
276,2008,2008_Sen-G_MA,MA,Sen-G,0.651232269551196,0.34876773044880394,0.6804421944415746,0.3195578055584255
277,2008,2008_Sen-G_ME,ME,Sen-G,0.4201806962936844,0.5798193037063156,0.38614753277950153,0.6138524672204985
278,2008,2008_Sen-G_MI,MI,Sen-G,0.623565934272452,0.37643406572754806,0.649259144130142,0.3507408558698581
